processed_m4418_ME21_HV0_test40_SRCoff_170713_205612_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
61816	2806	2361	175701	49184	43809	34844	51503	0	0	0	0	0	128229	312640	47472	2042	46914	558	44500	44876	2414	2038	700	1076	429	46914	3114	46914	2368	2285	83	44629	2285	292743	47827	46942	67483	2368	2285	104926	27279	56150	57545	43617	54859
46701	102	0	937973	229437	216921	174726	322409	0	0	0	0	0	935232	1168349	2741	12	229	2512	213	218	16	11	7	12	2	229	23	229	0	0	0	229	0	1231484	50570	47171	114218	2368	2285	509378	768	261601	286425	213467	336540
57442	2633	2146	171331	47337	42542	33837	51014	0	0	0	0	0	127695	299521	43636	1865	43074	562	40801	41211	2273	1863	635	1045	403	43074	2908	43074	2158	2069	89	41005	2069	1403121	94207	90246	171674	430	258	563750	25027	53999	55895	42363	54357
46624	84	0	936263	230037	215618	174116	322052	0	0	0	0	0	933536	1166237	2726	4	234	2492	220	231	14	3	0	11	2	234	14	234	0	0	0	234	0	2339650	96935	90480	218309	430	258	968192	834	262235	284738	213026	336114
56718	2518	2201	170374	47039	42345	33511	50773	0	0	0	0	0	127146	297706	43228	1796	42691	537	40477	40897	2214	1794	612	1032	351	42691	2826	42691	2211	2133	78	40558	2133	2510329	140164	133171	275041	2641	2391	1022565	24811	53680	55374	41925	54016
46082	93	0	936516	229444	216240	173949	322339	0	0	0	0	0	933665	1165896	2851	6	241	2610	226	236	15	5	1	11	3	241	16	241	0	0	0	241	0	3447132	143016	133412	321134	2641	2391	1427018	802	261825	285377	212761	336463
55510	2596	2004	170535	46717	42383	33583	51178	0	0	0	0	0	128375	295193	42160	1762	41594	566	39364	39832	2230	1762	563	1031	315	41594	2793	41594	2013	1940	73	39654	1940	3617952	185176	175006	376655	558	235	1481389	24060	53185	55665	41904	54290
46298	88	0	937617	229388	216436	174510	322520	0	0	0	0	0	934838	1167610	2779	3	243	2536	223	240	20	3	0	17	0	243	20	243	0	0	0	243	0	4555840	187957	175249	422967	558	235	1885831	785	261222	285558	213186	336548
57934	2576	2138	172162	47659	42667	33902	51365	0	0	0	0	0	128070	301225	44092	1775	43549	543	41316	41775	2233	1774	577	1036	376	43549	2810	43549	2148	2057	91	41492	2057	4728287	232050	218798	480925	2706	2292	1940215	25475	54214	56081	42318	54716
45831	75	0	937712	229382	216899	174467	322288	0	0	0	0	0	934887	1168558	2825	4	222	2603	214	219	8	3	2	7	0	222	10	222	0	0	0	222	0	5666279	234876	219020	526768	2706	2292	2344655	780	261493	286224	213382	336492
59876	2790	2270	173442	47833	43191	34302	51689	0	0	0	0	0	127557	306507	45885	1971	45288	597	42894	43318	2394	1970	666	1090	425	45288	3060	45288	2279	2189	90	43099	2189	5839994	280762	264309	586657	889	385	2399029	26481	54594	56600	42966	55001
46605	96	0	937899	229147	215952	174800	323352	0	0	0	0	0	935130	1168480	2769	9	225	2544	207	216	18	9	3	12	2	225	21	225	0	0	0	225	0	6778159	283531	264534	633280	889	385	2803470	795	261419	285219	213771	337454
59918	2741	2208	173047	48048	43150	34150	51259	0	0	0	0	0	127203	305837	45844	1945	45261	583	42896	43320	2365	1941	667	1091	384	45261	3032	45261	2218	2144	74	43117	2144	6951499	329377	309795	693207	3107	2529	2857854	26507	54817	56770	42579	54630
46476	86	0	937301	229331	215681	174715	322994	0	0	0	0	0	934588	1167701	2713	7	210	2503	201	203	9	7	2	4	3	210	11	210	0	0	0	210	0	7889074	332090	310005	739696	3107	2529	3262296	744	261529	285066	213357	337118
59468	2741	2260	172882	47869	43243	33936	51308	0	0	0	0	0	127421	305042	45461	1884	44827	634	42444	42945	2383	1882	580	1081	390	44827	2963	44827	2273	2185	88	42642	2185	8062249	377551	354832	799178	1284	618	3316668	26130	54544	56501	42663	54584
46649	103	0	938125	230004	215723	174664	322968	0	0	0	0	0	935287	1168163	2838	4	232	2606	220	230	12	2	1	11	0	232	13	232	0	0	0	232	0	9000670	380390	355064	845837	1284	618	3721120	839	261828	285495	213903	336974
58820	2626	2239	172678	47852	43050	33924	51328	0	0	0	0	0	127733	303515	44945	1821	44396	549	42119	42576	2277	1820	558	1015	332	44396	2835	44396	2247	2164	83	42232	2164	9173635	425336	399460	904670	3531	2782	3775492	25927	54609	56419	42609	54635
46270	89	0	937899	228591	215917	175799	323182	0	0	0	0	0	935119	1168646	2780	7	228	2552	217	222	11	6	2	7	4	228	13	228	0	0	0	228	0	10111824	428117	399688	950950	3531	2782	4179933	816	260536	284958	214410	337143
58515	2622	2214	171358	47426	42589	33764	50980	0	0	0	0	0	126816	301259	44542	1829	43995	547	41709	42170	2286	1825	614	1075	374	43995	2900	43995	2222	2139	83	41856	2139	10283468	472659	443683	1009484	1657	825	4234307	25422	54074	55864	42222	54296
46611	96	0	935938	228364	216139	174274	322466	0	0	0	0	0	933176	1165316	2762	6	242	2520	230	236	12	6	2	8	3	242	14	242	0	0	0	242	0	11219680	475422	443925	1056106	1657	825	4638759	859	260337	284831	213501	336601
57846	2674	2272	171685	47283	43009	33813	51025	0	0	0	0	0	127586	300836	44099	1905	43542	557	41205	41638	2337	1904	629	1062	378	43542	2966	43542	2279	2195	84	41347	2195	11391650	519521	487467	1113964	3936	3020	4693131	25573	53982	56308	42479	54175
46369	77	0	938497	229774	217423	173821	323132	0	0	0	0	0	935735	1169293	2762	6	238	2524	222	232	16	6	3	13	4	238	19	238	0	0	0	238	0	12330420	522283	487705	1160346	3936	3020	5097573	735	262281	286807	212465	337138
58437	2633	2251	172217	47676	42628	34352	51040	0	0	0	0	0	127383	302974	44834	1883	44279	555	41978	42399	2301	1880	623	1044	368	44279	2924	44279	2263	2179	84	42100	2179	12502961	567118	531984	1218797	2103	1103	5151957	25892	54390	56010	42870	54393
46421	98	0	937245	229386	216300	174328	322644	0	0	0	0	0	934529	1166399	2716	8	232	2484	217	225	15	7	2	10	0	232	17	232	0	0	0	232	0	13440487	569834	532216	1265236	2103	1103	5556398	791	261502	285353	213132	336493
58295	2698	2214	172075	47294	42906	34086	51201	0	0	0	0	0	127590	301914	44485	1882	43933	552	41575	42052	2358	1881	621	1098	405	43933	2979	43933	2224	2158	66	41775	2158	13612823	614319	576149	1323548	231	3261	5610770	25825	53789	56174	42580	54487
46583	86	0	937101	228915	216882	174387	322278	0	0	0	0	0	934432	1166702	2669	6	216	2453	209	210	7	6	2	3	2	216	9	216	0	0	0	216	0	14550211	616988	576365	1370139	231	3261	6015223	812	261128	286388	213118	336199
59448	2714	2282	173741	47798	43280	34462	51639	0	0	0	0	0	128317	306022	45424	1927	44835	589	42463	42910	2372	1925	659	1106	387	44835	3031	44835	2293	2195	98	42640	2195	14724236	662414	621201	1429610	2524	1360	6069596	26267	54713	56838	43024	54941
46129	93	0	937065	229210	216786	173959	322537	0	0	0	0	0	934316	1166963	2749	7	227	2522	216	223	11	4	0	7	1	227	11	227	0	0	0	227	0	15661575	665166	621430	1475756	2524	1360	6474037	796	261314	286039	212706	336483
58703	2658	2269	172123	47427	42854	34088	51254	0	0	0	0	0	127518	302493	44605	1849	44053	552	41737	42206	2316	1847	629	1098	385	44053	2945	44053	2279	2193	86	41860	2193	15834005	709771	665483	1534472	707	3553	6528409	25812	54193	56233	42685	54573
46056	72	0	936866	229136	215892	174887	322326	0	0	0	0	0	934128	1165931	2738	3	232	2506	220	229	12	3	0	9	0	232	12	232	0	0	0	232	0	16771156	712509	665715	1580547	707	3553	6932854	769	261241	284857	213570	336372
59566	2714	2291	173091	47506	43109	34429	51550	0	0	0	0	0	127515	305146	45576	1874	44973	603	42617	43100	2356	1873	606	1089	364	44973	2962	44973	2298	2200	98	42773	2200	16944525	758087	710688	1640125	3005	1657	6987235	26426	54182	56567	43105	54879
46542	71	0	936485	229132	216607	174256	321821	0	0	0	0	0	933726	1165982	2759	10	233	2526	225	226	8	7	4	5	1	233	12	233	0	0	0	233	0	17881328	760847	710921	1686677	3005	1657	7391677	848	261513	285684	212990	335732
61009	2719	2372	174500	48377	43752	34400	51539	0	0	0	0	0	127731	309708	46769	1920	46167	602	43782	44251	2385	1916	623	1092	378	46167	3008	46167	2379	2292	87	43875	2292	18056092	807617	757088	1747697	1288	3949	7446060	26878	55271	57367	42986	54986
46500	69	0	938220	229282	216199	174957	323105	0	0	0	0	0	935481	1169346	2739	3	236	2503	226	233	10	3	1	8	0	236	11	236	0	0	0	236	0	18994600	810356	757324	1794212	1288	3949	7850502	831	261245	285303	213877	337138
61286	2786	2327	175077	48555	43514	34671	51831	0	0	0	0	0	128059	310770	47018	1962	46415	603	43996	44456	2419	1959	700	1160	372	46415	3119	46415	2336	2244	92	44171	2244	19169957	857374	803739	1855511	3624	2097	7904874	27320	55486	57208	43555	55203

processed_m4419_ME21_HV0_test40_SRCoff_170713_211112_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
55798	2451	2126	170272	46554	42421	33339	51227	0	0	0	0	0	127855	295596	42417	1719	41855	562	39744	40137	2111	1718	596	989	383	41855	2707	41855	2137	2035	102	39820	2035	288003	42762	41889	61708	2137	2035	104814	24513	53252	55631	41646	54474
46277	71	0	937791	229786	216631	174032	322817	0	0	0	0	0	934984	1167668	2807	7	248	2559	235	241	13	7	5	11	1	248	18	248	0	0	0	248	0	1226551	45574	42137	108017	2137	2035	509254	805	261770	285404	212842	336911
58815	2602	2207	172307	47672	42897	33850	51349	0	0	0	0	0	127425	302906	44882	1900	44262	620	42005	42365	2257	1897	670	1030	379	44262	2927	44262	2210	2131	79	42131	2131	1399142	90457	86399	166841	251	70	563639	25960	54397	56201	42493	54726
46307	81	0	938061	229333	216677	175278	322091	0	0	0	0	0	935304	1168964	2757	4	226	2531	217	223	9	3	1	7	2	226	10	226	0	0	0	226	0	2337458	93215	86625	213172	251	70	968080	784	261368	285952	213961	336104
61573	2698	2381	174837	48527	43698	34419	51738	0	0	0	0	0	127714	310394	47123	1862	46504	619	44143	44646	2361	1858	631	1134	372	46504	2992	46504	2396	2296	100	44208	2296	2512561	140339	133129	274758	2647	2366	1022452	27034	55355	57283	43108	55117
