processed_m4498_ME11_HV0_test40_SRCoff_170715_193229_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
28691	764	2118	40538	13363	12847	13865	0	677	608	557	1783	38737	20086	90573	20452	523	20392	60	19746	19869	646	523	198	321	93	20392	844	20392	2123	2113	10	18279	2113	58429	20478	20394	31116	2123	2113	104813	0	0	0	0	0
7143	12	0	53039	14936	15929	19624	0	1200	908	878	2969	50069	52946	65590	93	0	22	71	20	22	2	0	0	2	0	22	2	22	0	0	0	22	0	111592	20572	20416	38283	2123	2113	252863	0	0	0	0	0
28579	757	2047	40638	13237	13148	13856	0	678	545	568	1740	38881	20287	90369	20351	535	20273	78	19623	19739	650	534	206	322	101	20273	856	20273	2049	2041	8	18232	2041	152300	40923	40689	66877	76	58	307236	0	0	0	0	0
7296	7	0	53111	14773	16207	19745	0	1155	865	839	2838	50271	53036	65909	75	0	14	61	14	14	0	0	0	0	0	14	0	14	0	0	0	14	0	205512	40998	40703	74186	76	58	455274	0	0	0	0	0
27802	774	2013	39845	13047	12698	13688	0	612	583	562	1710	38125	20162	88271	19683	540	19610	73	18942	19070	668	540	200	328	103	19610	868	19610	2017	2006	11	17604	2006	245455	60681	60313	101997	2093	2064	509659	0	0	0	0	0
7137	8	0	53220	14809	16173	19813	0	1145	871	867	2866	50353	53129	65924	91	0	19	72	19	19	0	0	0	0	0	19	0	19	0	0	0	19	0	298765	60772	60332	109144	2093	2064	657697	0	0	0	0	0
30397	855	2267	41733	13837	13321	14064	0	718	645	587	1889	39836	19967	94587	21766	584	21677	89	20934	21093	743	584	188	347	112	21677	931	21677	2272	2259	13	19418	2259	340591	82538	82009	139551	269	227	712082	0	0	0	0	0
7161	6	0	53229	14872	16124	19807	0	1166	906	840	2893	50335	53127	65929	102	0	20	82	20	20	0	0	0	0	0	20	0	20	0	0	0	20	0	393913	82640	82029	146719	269	227	860120	0	0	0	0	0
28292	796	2121	39968	12970	12924	13636	0	671	589	587	1795	38160	19936	88727	20032	485	19935	97	19267	19450	668	485	168	351	92	19935	836	19935	2125	2111	14	17824	2111	433971	102672	101964	175028	2394	2338	914493	0	0	0	0	0
7284	11	0	53311	14752	16223	19870	0	1166	929	832	2914	50396	53213	65935	98	0	12	86	12	12	0	0	0	0	0	12	0	12	0	0	0	12	0	487375	102770	101976	182323	2394	2338	1062543	0	0	0	0	0
29109	802	2121	40782	13466	13049	13830	0	674	588	585	1792	38980	20124	91254	20658	524	20584	74	19904	20060	680	524	192	348	83	20584	872	20584	2128	2111	17	18473	2111	528257	123428	122560	211444	426	353	1116916	0	0	0	0	0
7011	13	0	53087	14738	15932	19901	0	1193	914	883	2968	50119	52997	65789	90	0	8	82	7	8	1	0	0	1	0	8	1	8	0	0	0	8	0	581419	123518	122568	218466	426	353	1264966	0	0	0	0	0
27121	759	1976	39224	13001	12588	13145	0	595	569	562	1683	37530	20043	86433	19181	498	19117	64	18459	18619	658	498	171	331	98	19117	829	19117	1980	1970	10	17147	1970	620733	142699	141685	245595	2406	2323	1319339	0	0	0	0	0
7215	8	0	53437	14946	16123	19887	0	1178	892	861	2915	50522	53338	66157	99	1	10	89	8	9	2	1	0	1	0	10	2	10	0	0	0	10	0	674250	142798	141695	252816	2406	2323	1467378	0	0	0	0	0
30116	846	2314	41785	13954	13330	14064	0	672	605	556	1768	39998	20104	94362	21681	564	21593	88	20842	21029	751	564	199	386	108	21593	950	21593	2321	2303	18	19290	2303	716122	164479	163288	282944	631	530	1521762	0	0	0	0	0
7354	9	0	53103	14872	16009	19799	0	1122	922	849	2880	50223	53011	65761	92	0	16	76	14	16	2	0	0	2	0	16	2	16	0	0	0	16	0	769334	164571	163304	290302	631	530	1669801	0	0	0	0	0
28481	797	2127	40356	13184	12857	13845	0	665	556	579	1750	38595	20109	89868	20247	501	20170	77	19489	19669	681	501	175	355	98	20170	856	20170	2130	2119	11	18051	2119	809777	184818	183474	318797	2761	2649	1724184	0	0	0	0	0
7183	9	0	53414	14986	16051	19884	0	1176	900	884	2934	50479	53338	66407	76	1	10	66	9	9	1	1	0	0	0	10	1	10	0	0	0	10	0	863292	184894	183484	325991	2761	2649	1872224	0	0	0	0	0
28918	762	2121	40850	13457	13089	13906	0	654	583	552	1734	39104	20265	90957	20585	503	20505	80	19880	20002	625	503	179	301	85	20505	804	20505	2125	2108	17	18397	2108	904227	205480	203989	354930	790	661	1926595	0	0	0	0	0
7230	12	0	53150	14751	15990	20006	0	1156	893	828	2854	50296	53073	65552	77	0	9	68	8	9	1	0	0	1	0	9	1	9	0	0	0	9	0	957465	205557	203998	362175	790	661	2074647	0	0	0	0	0
29041	802	2069	40961	13452	13042	14031	0	673	590	541	1753	39198	20206	91612	20755	525	20691	64	19982	20166	709	525	174	358	110	20691	883	20691	2071	2059	12	18632	2059	998512	226312	224689	391223	2861	2720	2129020	0	0	0	0	0
7287	12	0	53261	14887	16243	19763	0	1099	908	815	2801	50459	53183	66072	78	1	8	70	7	7	1	1	0	0	1	8	1	8	0	0	0	8	0	1051859	226390	224697	398530	2861	2720	2277070	0	0	0	0	0
29092	777	2152	40768	13325	13215	13779	0	663	553	571	1725	39022	20021	91525	20747	527	20683	64	20038	20156	645	527	181	299	89	20683	826	20683	2158	2138	20	18545	2138	1092700	247137	245380	427633	923	762	2331441	0	0	0	0	0
7373	9	0	52647	14544	15959	19672	0	1198	889	846	2905	49741	52559	65310	88	2	16	72	15	14	1	2	2	1	0	16	3	16	0	0	0	16	0	1145421	247225	245396	435016	923	762	2479481	0	0	0	0	0
29800	848	2275	41550	13798	13198	14191	0	721	578	577	1823	39707	20177	93479	21373	551	21304	69	20580	20754	724	550	201	375	103	21304	925	21304	2283	2266	17	19038	2266	1187067	268598	266700	464822	3206	3028	2533864	0	0	0	0	0
7335	5	0	53418	15016	16055	19933	0	1123	932	834	2866	50552	53336	66025	82	1	8	74	7	7	1	1	1	1	1	8	2	8	0	0	0	8	0	1240558	268680	266708	472167	3206	3028	2681903	0	0	0	0	0
31479	856	2278	42831	14190	13782	14516	0	652	595	599	1793	41024	20280	97352	22551	512	22476	75	21734	21964	742	512	164	394	75	22476	906	22476	2288	2271	17	20205	2271	1283477	291232	289185	503657	1398	1203	2736287	0	0	0	0	0
7317	11	0	53269	15039	15994	19871	0	1092	902	826	2805	50464	53173	65946	96	0	13	83	13	13	0	0	0	0	0	13	0	13	0	0	0	13	0	1336842	291329	289198	510991	1398	1203	2884326	0	0	0	0	0
29024	799	2162	40697	13357	13074	13751	0	690	602	596	1822	38860	20024	91139	20673	532	20597	76	19913	20065	684	532	177	329	104	20597	861	20597	2163	2152	11	18445	2152	1377649	312002	309795	540026	3561	3355	2938699	0	0	0	0	0
7111	6	0	53377	14798	16110	20062	0	1128	881	882	2876	50500	53309	66065	68	2	9	59	8	7	1	2	1	0	0	9	2	9	0	0	0	9	0	1431093	312070	309804	547153	3561	3355	3086749	0	0	0	0	0
12894	294	867	27873	8646	8786	9636	0	556	462	409	1393	26474	19835	50207	8038	200	7993	45	7743	7793	250	200	82	132	33	7993	332	7993	868	864	4	7129	864	1459041	320108	317797	560056	333	123	3141122	0	0	0	0	0
7261	10	0	53216	14825	16103	19879	0	1137	877	895	2887	50328	53126	65837	90	1	10	80	9	9	1	1	0	0	0	10	1	10	0	0	0	10	0	1512343	320198	317807	567330	333	123	3289172	0	0	0	0	0
27559	784	1868	39616	12964	12565	13619	0	659	598	530	1724	37879	19982	87856	19634	495	19571	63	18905	19076	666	495	166	337	62	19571	832	19571	1872	1863	9	17708	1863	1552044	339832	337378	594896	2205	1986	3343546	0	0	0	0	0
7105	12	0	53011	14862	15977	19820	0	1126	848	841	2799	50212	52913	65622	98	0	14	84	14	14	0	0	0	0	0	14	0	14	0	0	0	14	0	1605131	339930	337392	602011	2205	1986	3491595	0	0	0	0	0
30543	836	2324	41923	13821	13544	14147	0	643	604	602	1796	40114	20046	95049	21877	532	21799	78	21081	21267	718	532	188	374	101	21799	906	21799	2326	2307	19	19492	2307	1647134	361808	359191	632565	435	197	3545968	0	0	0	0	0
7146	11	0	53195	14671	16115	19942	0	1141	884	905	2910	50284	53094	65906	101	1	16	85	15	15	1	1	0	0	0	16	1	16	0	0	0	16	0	1700413	361909	359207	639722	435	197	3694006	0	0	0	0	0
31288	895	2320	42370	14028	13627	14282	0	683	615	598	1843	40511	19967	96720	22403	563	22326	77	21545	21763	781	563	188	406	100	22326	969	22326	2323	2311	12	20015	2311	1742875	384312	381533	671021	2758	2508	3748391	0	0	0	0	0
7292	4	0	53043	14841	15984	19708	0	1205	922	846	2948	50094	52957	65806	86	0	17	69	17	17	0	0	0	0	0	17	0	17	0	0	0	17	0	1796015	384398	381550	678325	2758	2508	3896429	0	0	0	0	0

processed_m4500_ME11_HV0_test40_SRCoff_170715_194941_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
20610	429	1729	12976	3909	4708	4231	0	111	130	107	344	12632	11782	19668	1194	29	1165	29	1053	1136	112	29	6	89	3	1165	118	1165	2095	203	1892	962	203	20201	1202	1165	21812	2095	203	104801	0	0	0	0	0
3373	3	0	20801	5548	6930	7666	0	301	294	256	841	19960	20783	25590	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41032	1220	1165	25191	2095	203	252840	0	0	0	0	0
21434	475	1792	13139	3892	4825	4261	0	121	157	120	396	12743	11971	19779	1168	31	1146	22	1033	1115	113	31	13	95	9	1146	126	1146	2125	215	1910	931	215	54202	2388	2311	46628	124	418	307224	0	0	0	0	0
3333	2	0	20958	5611	7086	7685	0	286	284	232	797	20161	20935	25773	23	0	2	21	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	75196	2411	2313	49971	124	418	455263	0	0	0	0	0
21328	433	1877	13046	3823	4794	4287	0	125	141	108	374	12672	11867	19746	1179	30	1148	31	1050	1118	98	30	8	76	10	1148	106	1148	2244	229	2015	919	229	88274	3590	3461	71302	2368	647	509647	0	0	0	0	0
3453	3	0	20986	5730	6924	7679	0	307	284	274	856	20130	20963	25858	23	1	1	22	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	109295	3613	3462	74759	2368	647	657686	0	0	0	0	0
21445	432	1850	13129	3836	4764	4328	0	141	152	132	421	12708	11881	19957	1248	32	1213	35	1103	1181	110	32	5	83	7	1213	115	1213	2209	206	2003	1007	206	122458	4861	4675	96209	481	853	712059	0	0	0	0	0
3439	5	0	20793	5549	6882	7716	0	312	274	270	849	19944	20776	25606	17	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143289	4878	4675	99651	481	853	860109	0	0	0	0	0
21934	431	1946	13324	4005	4806	4372	0	108	156	121	380	12943	12114	20303	1210	37	1184	26	1069	1147	115	37	12	90	5	1184	127	1184	2324	196	2128	988	196	156657	6088	5859	121593	2805	1049	914482	0	0	0	0	0
3418	2	0	20941	5680	6952	7686	0	307	280	238	818	20123	20920	25853	21	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177634	6109	5859	125017	2805	1049	1062531	0	0	0	0	0
22287	436	1898	13291	3956	4833	4362	0	131	132	125	384	12907	12076	20238	1215	33	1188	27	1073	1155	115	33	11	93	7	1188	126	1188	2289	210	2079	978	210	190964	7324	7047	147316	998	1259	1116905	0	0	0	0	0
3342	2	0	20738	5708	6962	7433	0	296	282	261	833	19905	20717	25560	21	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211724	7345	7047	150661	998	1259	1264954	0	0	0	0	0
19778	414	1725	12694	3764	4593	4203	0	117	136	124	371	12323	11588	19107	1106	28	1085	21	979	1057	106	28	9	87	5	1085	115	1085	2039	187	1852	898	187	224446	8451	8132	170449	3037	1446	1319326	0	0	0	0	0
3433	7	0	21020	5675	6925	7800	0	280	285	247	805	20215	21002	25922	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245498	8469	8132	173885	3037	1446	1467366	0	0	0	0	0
20732	437	1724	12897	3916	4691	4155	0	111	131	123	357	12540	11731	19454	1166	31	1145	21	1020	1114	125	31	8	102	7	1145	133	1145	2089	216	1873	929	216	258419	9635	9277	194624	1030	1662	1521739	0	0	0	0	0
3418	2	0	20995	5667	7080	7625	0	291	264	260	814	20181	20983	25855	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279449	9647	9277	198047	1030	1662	1669789	0	0	0	0	0
19182	397	1662	12774	3806	4619	4203	0	118	118	122	353	12419	11676	19176	1098	34	1065	33	976	1031	89	34	13	68	3	1065	102	1065	2005	186	1819	879	186	292261	10745	10342	217239	3035	1848	1724162	0	0	0	0	0
3355	2	0	21112	5704	7126	7685	0	281	275	250	798	20314	21089	25957	23	0	1	22	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	313403	10768	10343	220604	3035	1848	1872211	0	0	0	0	0
19931	434	1705	12814	3776	4727	4145	0	134	139	118	384	12430	11677	19316	1137	39	1117	20	994	1078	123	39	12	96	3	1117	135	1117	2039	193	1846	924	193	326255	11905	11460	240540	978	2041	1926585	0	0	0	0	0
3376	4	0	20980	5790	6864	7657	0	293	290	258	833	20147	20960	25794	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347270	11925	11460	243923	978	2041	2074635	0	0	0	0	0
19725	372	1690	12511	3749	4582	4042	0	128	135	108	366	12144	11438	18836	1073	22	1043	30	953	1021	90	22	10	78	4	1043	100	1043	2003	189	1814	854	189	359830	12998	12503	263659	2981	2230	2129007	0	0	0	0	0
3420	2	0	20781	5595	7101	7455	0	297	281	263	834	19947	20751	25518	30	0	1	29	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	380643	13028	12504	267084	2981	2230	2277058	0	0	0	0	0
20822	432	1772	12993	3897	4757	4205	0	125	137	113	372	12621	11833	19609	1160	44	1145	15	1024	1101	121	44	9	86	9	1145	130	1145	2146	192	1954	953	192	393666	14188	13649	287913	1031	2422	2331430	0	0	0	0	0
3404	3	0	20676	5606	6958	7531	0	265	278	249	780	19896	20644	25522	32	0	2	30	1	2	1	0	0	1	0	2	1	2	0	0	0	2	0	414388	14220	13651	291325	1031	2422	2479470	0	0	0	0	0
20127	389	1787	12820	3832	4744	4121	0	117	150	123	385	12434	11686	19297	1134	29	1111	23	1011	1082	100	29	7	78	6	1111	107	1111	2112	217	1895	894	217	427242	15354	14762	311456	3143	2639	2533844	0	0	0	0	0
3329	3	0	21144	5637	7147	7701	0	328	312	236	867	20277	21128	25909	16	0	2	14	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	448429	15370	14764	314791	3143	2639	2681893	0	0	0	0	0
21087	413	1841	13287	4057	4756	4287	0	136	152	122	407	12880	12077	20095	1210	33	1178	32	1084	1145	94	33	10	71	3	1178	104	1178	2182	218	1964	960	218	461774	16580	15942	335885	1229	2857	2736277	0	0	0	0	0
3421	5	0	20718	5625	6852	7573	0	290	282	285	851	19867	20693	25598	25	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482524	16605	15942	339309	1229	2857	2884316	0	0	0	0	0
21193	446	1804	13084	3956	4737	4283	0	104	110	147	359	12725	11869	19897	1215	29	1184	31	1051	1155	133	29	3	107	8	1184	136	1184	2195	190	2005	994	190	495644	17820	17126	360507	3424	3047	2938687	0	0	0	0	0
3418	6	0	20990	5641	7076	7654	0	310	293	223	819	20171	20967	25839	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516669	17843	17126	363930	3424	3047	3086738	0	0	0	0	0
20414	415	1801	13026	3785	4792	4351	0	105	98	143	341	12684	11913	19598	1113	27	1099	14	1006	1072	93	27	7	73	10	1099	100	1099	2116	184	1932	915	184	529737	18956	18225	384348	1444	3231	3141112	0	0	0	0	0
3366	4	0	21009	5606	6997	7718	0	318	306	261	881	20128	20990	25932	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550781	18975	18225	387717	1444	3231	3289160	0	0	0	0	0
20678	422	1822	12963	3881	4714	4240	0	129	138	119	383	12580	11811	19560	1152	37	1120	32	1014	1083	106	37	8	77	6	1120	114	1120	2173	212	1961	908	212	563781	20127	19345	408398	3617	3443	3343533	0	0	0	0	0
3368	1	0	20787	5572	7025	7540	0	307	283	254	840	19947	20764	25582	23	0	1	22	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	584605	20150	19346	411770	3617	3443	3491572	0	0	0	0	0
19611	408	1646	12586	3673	4584	4154	0	135	134	146	405	12179	11515	18764	1071	23	1049	22	959	1026	90	23	5	72	5	1049	95	1049	1965	187	1778	862	187	597217	21221	20395	431384	1486	3630	3545956	0	0	0	0	0
3372	2	0	20835	5687	7087	7444	0	288	268	260	810	20025	20820	25619	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618079	21236	20395	434758	1486	3630	3693996	0	0	0	0	0
19057	400	1663	12536	3663	4640	4095	0	123	140	123	379	12156	11477	18705	1059	27	1040	19	947	1013	93	27	7	73	2	1040	100	1040	1974	192	1782	848	192	630645	22295	21435	453823	3460	3822	3748379	0	0	0	0	0
3376	5	0	20786	5694	6874	7619	0	286	266	245	791	19995	20760	25547	26	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651458	22321	21435	457202	3460	3822	3896418	0	0	0	0	0
21045	438	1805	12946	3867	4732	4159	0	149	142	122	410	12536	11792	19573	1154	35	1125	29	1013	1090	112	35	6	83	9	1125	118	1125	2153	174	1979	951	174	664436	23475	22560	478252	1517	3996	3950791	0	0	0	0	0
3321	2	0	20796	5588	6962	7592	0	306	290	263	856	19940	20781	25627	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685259	23490	22560	481580	1517	3996	4098841	0	0	0	0	0
20687	408	1769	13092	3945	4651	4306	0	135	143	136	406	12685	11885	19807	1207	38	1184	23	1078	1146	106	38	10	78	11	1184	116	1184	2093	201	1892	983	201	698389	24697	23744	502274	3610	101	4153214	0	0	0	0	0
3291	3	0	21116	5667	6987	7794	0	330	298	266	887	20229	21089	25979	27	0	1	26	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	719547	24724	23745	505571	3610	101	4301264	0	0	0	0	0
19501	381	1659	12584	3662	4605	4143	0	129	136	131	394	12190	11488	18999	1096	37	1076	20	973	1039	103	37	10	76	10	1076	113	1076	2012	195	1817	881	195	732159	25820	24821	525079	1526	296	4355637	0	0	0	0	0
3410	3	0	20937	5612	6977	7723	0	299	254	294	846	20091	20913	25921	24	0	2	22	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	753139	25844	24823	528492	1526	296	4503686	0	0	0	0	0

processed_m4501_ME11_HV0_test40_SRCoff_170715_195835_TMBCounters.txt																																													
