processed_m4376_ME11_HV0_test40_SRCoff_170711_180506_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
4135	88	358	1313	447	513	371	0	3	7	5	15	1298	1019	2507	294	8	292	2	268	284	24	8	2	18	1	292	26	292	407	50	357	242	50	1317	296	293	4212	407	50	104824	0	0	0	0	0
228	0	0	8	2	4	1	0	0	0	1	1	7	7	11	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1325	297	293	4440	407	50	252861	0	0	0	0	0
4003	86	376	1266	422	529	342	0	5	9	3	17	1249	959	2492	307	3	305	2	278	302	27	3	0	24	2	305	27	305	423	48	375	257	48	2591	604	598	8443	830	98	307234	0	0	0	0	0
211	1	0	4	0	0	2	0	0	1	1	2	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2595	604	598	8654	830	98	455284	0	0	0	0	0
3647	75	320	1111	353	468	291	0	6	11	8	25	1086	834	2161	277	4	276	1	254	272	22	4	1	19	1	276	23	276	371	38	333	238	38	3706	881	874	12301	1201	136	509657	0	0	0	0	0
186	2	0	6	0	3	1	0	0	1	1	2	4	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3712	881	874	12487	1201	136	657707	0	0	0	0	0
3185	85	278	987	354	393	262	0	4	8	2	13	973	745	1953	242	5	242	0	220	237	22	5	1	18	1	242	23	242	313	44	269	198	44	4699	1123	1116	15673	1514	180	712080	0	0	0	0	0
211	3	0	7	3	1	3	0	0	0	0	0	7	6	12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4706	1124	1116	15885	1514	180	860130	0	0	0	0	0
3850	69	311	1206	458	448	322	0	4	5	5	13	1193	933	2341	273	7	272	1	253	265	19	7	1	13	1	272	20	272	362	41	321	231	41	5912	1397	1388	19735	1876	221	914503	0	0	0	0	0
177	1	0	10	1	6	3	0	0	0	0	0	10	7	22	3	0	1	2	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	5922	1400	1389	19912	1876	221	1062542	0	0	0	0	0
3956	88	344	1224	436	505	315	0	1	7	12	19	1205	905	2394	319	11	315	4	285	304	30	11	2	21	3	315	32	315	383	64	319	251	64	7146	1719	1704	23868	2259	285	1116915	0	0	0	0	0
188	3	0	2	0	0	0	0	2	0	0	2	0	1	4	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	7148	1720	1705	24056	2259	285	1264965	0	0	0	0	0
3965	81	349	1231	402	525	330	0	5	6	12	23	1208	931	2400	300	8	298	2	272	290	26	8	2	20	2	298	28	298	404	50	354	248	50	8379	2020	2003	28022	2663	335	1319338	0	0	0	0	0
195	2	0	5	2	0	3	0	0	0	0	0	5	4	11	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	8384	2021	2004	28217	2663	335	1467388	0	0	0	0	0
4418	109	386	1350	468	516	380	0	4	9	8	20	1330	1030	2648	320	14	319	1	278	305	41	14	3	30	2	319	44	319	460	61	399	258	61	9734	2341	2323	32635	3123	396	1521761	0	0	0	0	0
183	2	0	6	2	2	2	0	1	0	0	1	5	4	16	2	1	2	0	2	1	0	1	1	0	0	2	1	2	0	0	0	2	0	9740	2343	2325	32818	3123	396	1669811	0	0	0	0	0
4192	107	358	1290	462	494	350	0	5	8	8	21	1269	977	2547	313	15	311	2	285	296	26	15	6	17	3	311	32	311	412	38	374	273	38	11030	2656	2636	37010	3535	434	1724184	0	0	0	0	0
189	0	0	3	0	1	2	0	0	0	0	0	3	2	7	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	11033	2657	2637	37199	3535	434	1872234	0	0	0	0	0
3945	91	304	1206	426	486	319	0	4	5	6	15	1191	916	2403	290	10	288	2	262	278	26	10	4	20	2	288	30	288	355	48	307	240	48	12239	2947	2925	41144	3890	482	1926605	0	0	0	0	0
206	1	0	5	1	2	3	0	0	0	0	0	5	2	13	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	12244	2950	2927	41350	3890	482	2074645	0	0	0	0	0
4330	102	353	1294	463	495	361	0	7	9	7	21	1272	992	2497	302	9	299	3	279	290	20	9	1	12	4	299	21	299	422	56	366	243	56	13538	3252	3226	45680	216	538	2129028	0	0	0	0	0
218	2	0	5	0	4	1	0	0	0	0	0	5	4	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13543	3253	3226	45898	216	538	2277068	0	0	0	0	0
4093	73	327	1263	423	533	328	0	3	5	6	14	1249	964	2487	299	6	297	2	282	291	15	6	2	11	2	297	17	297	383	38	345	259	38	14806	3552	3523	49991	599	576	2331440	0	0	0	0	0
200	0	0	4	1	0	2	0	1	0	0	1	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14810	3552	3523	50191	599	576	2479490	0	0	0	0	0
4008	79	341	1242	437	511	334	0	4	6	2	11	1231	919	2459	323	7	317	6	293	310	24	7	2	19	1	317	26	317	386	45	341	272	45	16052	3875	3840	54199	985	621	2533863	0	0	0	0	0
198	2	0	8	4	2	2	0	0	1	0	1	7	5	17	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	16060	3878	3842	54397	985	621	2681914	0	0	0	0	0
3914	74	332	1183	426	459	322	0	2	4	10	16	1167	853	2352	330	11	326	4	302	315	24	11	2	15	1	326	26	326	371	43	328	283	43	17243	4208	4168	58311	1356	664	2736286	0	0	0	0	0
188	2	0	5	1	2	1	0	1	0	0	1	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17248	4208	4168	58499	1356	664	2884336	0	0	0	0	0
4401	89	372	1392	482	557	378	0	6	6	9	21	1371	1055	2762	337	9	334	3	305	325	29	9	3	23	2	334	32	334	425	50	375	284	50	18640	4545	4502	62900	1781	714	2938709	0	0	0	0	0
225	4	0	4	1	2	1	0	0	0	0	0	4	2	9	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	18644	4547	4504	63125	1781	714	3086748	0	0	0	0	0
4857	101	441	1537	542	619	406	0	4	7	8	18	1518	1138	3008	399	12	396	3	363	384	33	12	2	23	3	396	35	396	498	57	441	339	57	20181	4946	4900	67982	2279	771	3141132	0	0	0	0	0
236	2	0	9	4	5	0	0	1	0	0	1	8	7	15	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	20190	4948	4901	68218	2279	771	3289172	0	0	0	0	0
4560	88	391	1476	529	598	376	0	5	5	10	20	1456	1120	2894	356	15	353	3	330	338	23	15	2	10	2	353	25	353	446	62	384	291	62	21666	5304	5254	72778	2725	833	3343544	0	0	0	0	0
182	4	0	5	0	3	2	0	0	0	0	0	5	4	9	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	21671	5305	5255	72960	2725	833	3491593	0	0	0	0	0
5239	117	457	1656	574	643	462	0	8	11	15	34	1622	1229	3240	427	18	423	4	380	405	43	18	6	31	5	423	49	423	516	60	456	363	60	23327	5732	5678	78199	3241	893	3545967	0	0	0	0	0
244	0	0	7	1	3	3	0	0	0	0	0	7	5	17	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	23334	5734	5679	78443	3241	893	3694016	0	0	0	0	0
5172	112	464	1671	594	646	454	0	8	9	11	27	1644	1260	3277	411	8	408	3	372	400	36	8	1	29	4	408	37	408	527	65	462	343	65	25005	6145	6087	83615	3768	958	3748390	0	0	0	0	0
211	1	0	8	1	4	2	0	0	1	0	1	7	7	14	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	25013	6146	6088	83826	3768	958	3896439	0	0	0	0	0
4889	100	434	1464	490	590	397	0	6	11	6	23	1441	1092	2877	372	7	370	2	336	363	34	7	2	29	3	370	36	370	487	74	413	296	74	26477	6518	6458	88716	159	1032	3950813	0	0	0	0	0
205	0	0	5	3	1	2	0	0	0	0	0	5	2	11	3	0	1	2	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	26482	6521	6459	88921	159	1032	4098862	0	0	0	0	0
5034	101	460	1587	565	636	410	0	9	6	9	23	1564	1185	3136	402	12	398	4	365	386	33	12	4	25	1	398	37	398	533	68	465	330	68	28069	6923	6857	93955	692	1100	4153236	0	0	0	0	0
186	5	0	5	0	2	2	0	1	0	0	1	4	4	10	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	28074	6924	6858	94141	692	1100	4301274	0	0	0	0	0
4816	111	450	1446	514	575	386	0	5	7	11	21	1425	1088	2789	358	12	353	5	324	341	29	12	3	20	4	353	32	353	498	73	425	280	73	29520	7282	7211	98957	1190	1173	4355659	0	0	0	0	0
210	3	0	3	0	1	2	0	0	0	0	0	3	2	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29523	7283	7211	99167	1190	1173	4503697	0	0	0	0	0
5011	109	428	1606	542	668	421	0	6	10	6	22	1584	1208	3149	398	10	393	5	359	383	34	10	4	28	1	393	38	393	506	69	437	324	69	31129	7681	7604	104180	1696	1242	4558070	0	0	0	0	0
196	1	0	5	1	2	1	0	0	0	1	1	4	4	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31134	7682	7604	104376	1696	1242	4706122	0	0	0	0	0
4712	103	417	1453	485	591	399	0	6	9	8	22	1431	1094	2812	359	9	355	4	334	346	21	9	1	13	4	355	22	355	471	49	422	306	49	32587	8041	7959	109089	2167	1291	4760493	0	0	0	0	0
191	3	0	7	1	4	2	0	0	0	0	0	7	4	17	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	32594	8044	7961	109280	2167	1291	4908543	0	0	0	0	0
4766	111	402	1521	485	668	401	0	6	7	11	23	1498	1144	2961	377	8	375	2	338	367	37	8	0	29	3	375	37	375	456	68	388	307	68	34115	8421	8336	114046	2623	1359	4962916	0	0	0	0	0
202	3	0	8	2	2	4	0	0	0	0	0	8	6	16	2	1	2	0	1	1	1	1	0	0	0	2	1	2	0	0	0	2	0	34123	8423	8338	114248	2623	1359	5110966	0	0	0	0	0
4862	102	445	1568	542	618	450	0	2	8	8	18	1550	1193	3069	375	15	371	4	335	356	36	15	4	25	4	371	40	371	512	69	443	302	69	35691	8798	8709	119110	3135	1428	5165339	0	0	0	0	0
203	2	0	8	1	3	2	0	0	0	2	2	6	6	17	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	35699	8800	8710	119313	3135	1428	5313378	0	0	0	0	0
4706	94	428	1413	512	556	380	0	5	6	3	14	1399	1042	2797	371	7	366	5	339	359	27	7	3	23	2	366	30	366	501	73	428	293	73	37112	9171	9076	124019	3636	1501	5367762	0	0	0	0	0
183	0	0	10	5	4	1	0	0	0	0	0	10	8	21	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	37122	9173	9078	124202	3636	1501	5515801	0	0	0	0	0
5017	133	459	1587	540	611	454	0	6	12	9	27	1560	1195	3144	392	16	387	5	338	371	49	16	1	34	5	387	50	387	543	62	481	325	62	38709	9565	9465	129219	83	1563	5570173	0	0	0	0	0
216	0	0	4	2	1	1	0	0	0	0	0	4	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38713	9565	9465	129435	83	1563	5718224	0	0	0	0	0
4746	84	427	1466	515	550	420	0	6	11	12	28	1438	1115	2838	351	5	347	4	328	342	19	5	1	15	1	347	20	347	482	60	422	287	60	40179	9916	9812	134181	565	1623	5772596	0	0	0	0	0
206	1	0	5	0	1	2	0	0	1	1	2	3	3	11	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	40184	9918	9814	134387	565	1623	5920647	0	0	0	0	0
5067	103	455	1596	525	674	427	0	2	10	12	24	1572	1219	3105	377	13	376	1	353	363	23	13	3	13	5	376	26	376	517	69	448	307	69	41780	10295	10190	139454	1082	1692	5975019	0	0	0	0	0
226	6	0	10	4	3	1	0	0	1	1	2	8	8	19	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	41790	10297	10192	139680	1082	1692	6123068	0	0	0	0	0
4981	117	453	1515	514	604	409	0	11	8	7	26	1489	1133	3020	382	7	379	3	346	372	33	7	3	29	1	379	36	379	506	65	441	314	65	43305	10679	10571	144661	1588	1757	6177442	0	0	0	0	0
210	3	0	8	0	5	3	0	0	0	0	0	8	7	13	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	43313	10680	10572	144871	1588	1757	6325480	0	0	0	0	0
6521	138	569	2020	677	858	539	0	6	6	10	22	1998	1499	3989	521	16	515	6	481	499	34	16	4	22	4	515	38	515	635	89	546	426	89	45333	11201	11087	151392	2223	1846	6379865	0	0	0	0	0
205	1	0	5	2	2	1	0	0	0	0	0	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45338	11201	11087	151597	2223	1846	6527903	0	0	0	0	0
6121	132	547	1902	646	772	515	0	11	15	7	33	1869	1418	3794	484	19	480	4	422	461	58	19	3	42	4	480	61	480	639	82	557	398	82	47240	11685	11567	157718	2862	1928	6582276	0	0	0	0	0
205	1	0	5	2	2	0	0	0	0	1	1	4	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47245	11685	11567	157923	2862	1928	6730326	0	0	0	0	0
7378	143	613	2294	795	906	618	0	12	15	15	42	2252	1705	4565	589	12	584	5	542	572	42	12	3	33	3	584	45	584	727	107	620	477	107	49539	12274	12151	165301	3589	2035	6784699	0	0	0	0	0
200	1	0	6	1	2	3	0	0	0	0	0	6	4	14	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	49545	12276	12152	165501	3589	2035	6932749	0	0	0	0	0
8241	164	752	2623	885	1028	725	0	13	21	18	49	2574	1983	5141	640	9	634	6	590	625	44	9	2	37	2	634	46	634	846	109	737	525	109	52168	12916	12786	173742	339	2144	6987122	0	0	0	0	0
174	2	0	7	3	2	2	0	0	0	0	0	7	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52175	12916	12786	173916	339	2144	7135172	0	0	0	0	0
7056	174	607	2132	697	892	590	0	5	11	12	28	2104	1597	4176	535	14	531	4	481	517	50	14	3	39	4	531	53	531	714	95	619	436	95	54307	13451	13317	180972	1053	2239	7189545	0	0	0	0	0
193	1	0	10	3	5	1	0	0	0	1	1	9	9	17	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	54317	13452	13318	181165	1053	2239	7337584	0	0	0	0	0
5982	112	505	1855	659	758	475	0	5	12	11	27	1827	1414	3567	441	7	436	5	405	429	31	7	1	25	2	436	32	436	564	60	504	376	60	56172	13893	13754	187149	1617	2299	7391968	0	0	0	0	0
204	2	0	4	2	1	1	0	0	0	0	0	4	1	10	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	56176	13896	13756	187353	1617	2299	7540007	0	0	0	0	0
6203	129	538	1968	675	790	535	0	8	15	11	32	1935	1479	3854	489	8	480	9	439	472	41	8	2	35	3	480	43	480	617	88	529	392	88	58144	14385	14236	193556	2234	2387	7594391	0	0	0	0	0
189	0	0	3	0	0	3	0	0	0	0	0	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58147	14385	14236	193745	2234	2387	7742430	0	0	0	0	0
6308	138	518	1953	707	767	534	0	7	4	11	22	1931	1483	3796	470	10	464	6	419	454	45	10	4	39	1	464	49	464	597	87	510	377	87	60100	14855	14700	200053	2831	2474	7796803	0	0	0	0	0
181	2	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60101	14855	14700	200234	2831	2474	7944853	0	0	0	0	0
5996	105	528	1811	627	708	505	0	5	12	11	28	1783	1358	3564	453	11	450	3	417	439	33	11	4	26	2	450	37	450	603	81	522	369	81	61912	15308	15150	206230	3434	2555	7999228	0	0	0	0	0
182	4	0	7	1	3	2	0	0	1	0	1	6	5	13	2	0	2	0	1	2	1	0	0	1	0	2	1	2	0	0	0	2	0	61919	15310	15152	206412	3434	2555	8147276	0	0	0	0	0
5760	128	523	1802	607	734	499	0	5	11	7	23	1779	1337	3527	465	8	462	3	424	454	38	8	1	31	4	462	39	462	599	80	519	382	80	63721	15775	15614	212172	4033	2635	8201649	0	0	0	0	0
194	2	0	9	1	3	5	0	0	0	0	0	9	5	20	4	0	3	1	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	63730	15779	15617	212366	4033	2635	8349699	0	0	0	0	0
6508	164	572	2060	677	855	561	0	7	13	7	27	2033	1555	3998	505	13	502	3	461	489	41	13	3	31	4	502	44	502	654	79	575	423	79	65790	16284	16119	218874	591	2714	8404072	0	0	0	0	0
