processed_m4364_ME21_HV0_test40_SRCoff_170711_110650_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
56013	2496	2283	150427	41846	38425	30444	41973	0	0	0	0	0	118634	253244	31793	1011	31279	514	29425	30270	1854	1009	319	1164	188	31279	2173	31279	2293	1499	794	29780	1499	248675	32053	31296	60052	2293	1499	104814	41407	47682	50407	38010	44918
11595	21	0	287781	71877	68759	55847	93025	0	0	0	0	0	287009	357734	772	2	52	720	49	50	3	2	1	2	0	52	4	52	0	0	0	52	0	536698	32826	31348	71654	2293	1499	252851	270	82062	90651	68069	97421
58375	2505	2417	151006	42411	38703	30520	41727	0	0	0	0	0	117620	257562	33386	1066	32909	477	31073	31844	1836	1065	381	1152	223	32909	2217	32909	2424	1602	822	31307	1602	687953	66212	64257	130040	621	3101	307225	43627	48490	50745	38203	44731
13690	31	0	340403	85235	81354	65287	110491	0	0	0	0	0	339485	422740	918	0	74	844	69	74	5	0	0	5	0	74	5	74	0	0	0	74	0	1028614	67130	64331	143740	621	3101	482263	331	97430	106987	79746	115731
62043	2648	2507	154670	43538	39707	31411	42434	0	0	0	0	0	119415	266511	35255	1112	34753	502	32750	33643	2003	1110	345	1238	221	34753	2348	34753	2516	1659	857	33094	1659	1183591	102385	99084	205793	3137	664	536636	46209	49734	51911	39254	45502
11670	17	0	288967	72636	68950	55573	93603	0	0	0	0	0	288204	358851	763	1	57	706	55	56	2	1	1	2	1	57	3	57	0	0	0	57	0	1472796	103148	99141	217470	3137	664	684686	277	82678	90687	68029	98003
61010	2696	2527	153457	42854	39741	31458	41843	0	0	0	0	0	118390	264436	35067	1142	34573	493	32536	33432	2037	1141	365	1261	235	34573	2402	34573	2537	1702	835	32871	1702	1626462	138216	133714	278491	1578	2366	739059	45686	49093	51965	39300	44830
13900	22	0	339592	84888	81069	65599	109998	0	0	0	0	0	338715	421712	877	3	57	820	52	54	5	3	0	2	0	57	5	57	0	0	0	57	0	1966278	139093	133771	292401	1578	2366	914100	332	96850	106716	80076	115222
57444	2502	2352	150390	42028	38892	30436	41345	0	0	0	0	0	117713	255588	32677	1005	32189	488	30274	31187	1915	1002	326	1239	200	32189	2241	32189	2363	1546	817	30643	1546	2116904	171770	165960	349858	3941	3912	968471	42648	48095	50752	38011	44341
11701	18	0	288059	71903	68939	55513	93418	0	0	0	0	0	287261	357721	798	2	61	737	55	59	6	2	0	4	2	61	6	61	0	0	0	61	0	2405183	172569	166021	361573	3941	3912	1116521	269	82058	90693	67972	97872
