processed_m4332_ME21_HV0_test40_SRCoff_170710_080727_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
43727	1325	1834	16957	5418	5349	3760	2782	0	0	0	0	0	12592	33665	4365	145	4274	91	3780	4129	494	145	35	384	24	4274	529	4274	2310	169	2141	4105	169	16980	4372	4277	43894	2310	169	104813	14165	6362	6823	4885	3396
1392	24	0	256	68	75	64	59	0	0	0	0	0	188	521	68	5	32	36	27	27	5	5	1	1	1	32	6	32	0	0	0	32	0	17236	4440	4309	45286	2310	169	536255	103	78	96	77	66
42685	1287	1801	16396	5140	5091	3757	2765	0	0	0	0	0	12091	32687	4305	138	4213	92	3728	4075	485	138	28	375	22	4213	513	4213	2237	195	2042	4018	195	33632	8745	8522	87971	451	364	590628	13728	6076	6495	4735	3363
1391	21	0	248	64	66	67	56	0	0	0	0	0	190	488	58	2	21	37	19	19	2	2	0	0	0	21	2	21	0	0	0	21	0	33880	8803	8543	89362	451	364	1022070	92	72	88	87	62
41204	1361	1657	15876	5123	4917	3487	2703	0	0	0	0	0	11742	31610	4134	149	4022	112	3500	3873	522	149	27	400	32	4022	549	4022	2107	163	1944	3859	163	49756	12937	12565	130566	2558	527	1076431	13186	6070	6393	4473	3246
1482	18	0	261	68	72	63	63	0	0	0	0	0	182	549	79	1	31	48	30	31	1	0	0	1	0	31	1	31	0	0	0	31	0	50017	13016	12596	132048	2558	527	1507874	102	80	93	83	69
41416	1276	1762	15740	4994	4782	3625	2676	0	0	0	0	0	11630	31317	4110	139	4024	86	3575	3885	449	139	26	336	35	4024	475	4024	2199	181	2018	3843	181	65757	17126	16620	173466	661	708	1562246	13186	5880	6257	4647	3252
1464	24	0	218	43	70	55	54	0	0	0	0	0	158	457	60	2	24	36	22	22	2	2	1	1	0	24	3	24	0	0	0	24	0	65975	17186	16644	174930	661	708	1993677	91	55	88	70	60
41475	1294	1740	15938	5067	4990	3552	2721	0	0	0	0	0	11825	31580	4113	116	4026	87	3578	3911	448	115	23	356	22	4026	471	4026	2158	173	1985	3853	173	81913	21299	20670	216405	2819	881	2048050	13343	5967	6450	4561	3300
1361	30	0	245	65	70	56	59	0	0	0	0	0	178	499	67	2	30	37	27	29	3	1	0	2	1	30	3	30	0	0	0	30	0	82158	21366	20700	217768	2819	881	2479492	93	73	86	78	71
40281	1237	1690	15644	5030	4731	3565	2636	0	0	0	0	0	11591	31103	4053	117	3948	105	3506	3831	442	117	24	349	18	3948	466	3948	2127	142	1985	3806	142	97802	25419	24648	258049	850	1023	2533865	13096	5881	6141	4496	3189
1396	20	0	239	55	73	67	47	0	0	0	0	0	181	487	58	1	22	36	20	21	2	1	0	1	0	22	2	22	0	0	0	22	0	98041	25477	24670	259445	850	1023	2965296	93	73	91	85	60
39751	1246	1684	15364	4951	4708	3445	2627	0	0	0	0	0	11433	30303	3931	131	3854	77	3393	3723	461	131	30	360	29	3854	491	3854	2114	176	1938	3678	176	113405	29408	28524	299197	2964	1199	3019680	12851	5812	6132	4374	3212
